ID_Produit;Nom_Produit;Categorie;Sous_Categorie;Prix_Unitaire_ECO;Quantite_Stock;Score_Avis;Statut_Disponibilite;Date_Ajout
PROD-1001;Poêle NovaLife v5;Maison & Cuisine;Poêle;31.26;250;3.8;En stock;2025-08-04
PROD-1002;Parfum FitGear v1;Beauté & Santé;Parfum;755.77;55;4.2;En stock;2025-02-03
PROD-1003;Aspirateur FitGear v3;Maison & Cuisine;Aspirateur;295.64;33;3.6;En stock;2025-06-21
PROD-1004;Smartphone PrimeGoods v5;Électronique;Smartphone;668.29;163;4.3;En stock;2025-05-07
PROD-1005;Aspirateur EcoHome v3;Maison & Cuisine;Aspirateur;17.16;89;4.3;En stock;2026-01-09
PROD-1006;Smartphone PrimeGoods v4;Électronique;Smartphone;428.68;118;4.6;En stock;2025-02-02
PROD-1007;Écouteurs AuraStyle v1;Électronique;Écouteurs;175.76;12;4.2;Stock faible;2025-10-05
PROD-1008;Crème hydratante TechCorp v1;Beauté & Santé;Crème hydratante;283.16;127;3.6;En stock;2025-09-21
PROD-1009;Jean FitGear v3;Mode & Vêtements;Jean;824.32;211;4.1;En stock;2026-04-01
PROD-1010;Lampe de bureau EcoHome v5;Maison & Cuisine;Lampe de bureau;236.75;43;4.1;En stock;2025-03-04
PROD-1011;Trousse de maquillage EcoHome v2;Beauté & Santé;Trousse de maquillage;323.26;165;3.7;En stock;2025-01-19
PROD-1012;Haltères EcoHome v4;Sports & Loisirs;Haltères;676.49;232;3.6;En stock;2025-02-23
PROD-1013;Robe AuraStyle v4;Mode & Vêtements;Robe;639.64;201;4.9;En stock;2026-02-23
PROD-1014;Écouteurs AuraStyle v5;Électronique;Écouteurs;186.47;133;4.7;En stock;2025-08-29
PROD-1015;Jean TechCorp v5;Mode & Vêtements;Jean;651.24;236;3.6;En stock;2026-03-30
PROD-1016;Veste AuraStyle v5;Mode & Vêtements;Veste;530.11;230;3.9;En stock;2025-04-15
PROD-1017;Tapis de course NovaLife v5;Sports & Loisirs;Tapis de course;242.73;158;4.9;En stock;2025-10-26
PROD-1018;Crème hydratante TechCorp v4;Beauté & Santé;Crème hydratante;310.88;236;4.0;En stock;2026-01-24
PROD-1019;Veste FitGear v1;Mode & Vêtements;Veste;639.43;84;4.9;En stock;2025-09-17
PROD-1020;Robe EcoHome v1;Mode & Vêtements;Robe;11.72;44;4.8;En stock;2025-03-09
PROD-1021;Machine à café TechCorp v1;Maison & Cuisine;Machine à café;232.87;77;3.5;En stock;2026-01-13
PROD-1022;Montre connectée TechCorp v2;Électronique;Montre connectée;534.48;143;3.9;En stock;2025-05-26
PROD-1023;T-shirt AuraStyle v1;Mode & Vêtements;T-shirt;70.47;143;3.8;En stock;2025-06-17
PROD-1024;Jean AuraStyle v1;Mode & Vêtements;Jean;728.89;37;4.1;En stock;2026-01-30
