ID_Produit;Nom_Produit;Categorie;Prix_Unitaire_ECO;Quantite_Stock;Statut_Disponibilite;Score_Avis;Date_Ajout;Poids_kg;Code_Barres
PROD-0001;Smartphone Elite;Électronique;364.78;457;En stock;3.3;2024-04-14;10.18;3660123671858
PROD-0002;Tablette Quantum;Électronique;50.99;191;En stock;3.4;2025-06-01;9.07;3660123688508
PROD-0003;Friteuse sans Huile Quantum;Maison & Cuisine;294.36;1206;En stock;3.6;2026-06-09;0.2;3660123944962
PROD-0004;Four à Micro-ondes Zenith;Maison & Cuisine;368.44;440;En stock;4.9;2024-12-10;1.62;3660123498382
PROD-0005;Écouteurs Sans Fil Zenith;Électronique;788.8;88;En stock;4.5;2025-07-03;1.96;3660123496922
PROD-0006;Tablette Zenith;Électronique;1079.92;1266;En stock;4.8;2025-01-05;8.7;3660123838797
PROD-0007;Smartphone Elite;Électronique;303.98;592;En stock;5.0;2026-05-25;3.57;3660123205907
PROD-0008;Haltères Quantum;Sports & Loisirs;830.02;747;En stock;3.3;2024-12-29;3.22;3660123379946
PROD-0009;Tablette Elite;Électronique;230.76;1493;En stock;3.5;2025-04-18;5.75;3660123771088
PROD-0010;Brosse à Dents Électrique Elite;Beauté & Santé;428.31;114;En stock;3.5;2024-02-02;12.1;3660123520651
PROD-0011;T-shirt en Coton Nova;Mode;1187.94;1161;En stock;4.8;2024-11-18;3.27;3660123623481
PROD-0012;Gourde Isotherme Nova;Sports & Loisirs;351.69;505;En stock;4.5;2025-07-05;4.01;3660123712982
PROD-0013;Raquette de Tennis Quantum;Sports & Loisirs;476.97;283;En stock;4.0;2024-04-03;11.36;3660123214975
PROD-0014;Machine à Café Elite;Maison & Cuisine;554.58;130;En stock;3.8;2025-09-02;14.94;3660123654816
PROD-0015;Sac à Dos Apex;Mode;887.56;234;En stock;4.4;2025-07-03;11.29;3660123905934
PROD-0016;T-shirt en Coton Zenith;Mode;570.84;929;En stock;3.0;2026-01-09;13.15;3660123376183
PROD-0017;Brosse à Dents Électrique Vortex;Beauté & Santé;1187.28;1280;En stock;3.6;2025-10-16;7.66;3660123308573
PROD-0018;Mélangeur Nova;Maison & Cuisine;705.79;1086;En stock;4.8;2025-09-05;4.93;3660123120422
PROD-0019;Écouteurs Sans Fil Zenith;Électronique;318.88;493;En stock;4.8;2024-03-21;1.38;3660123609597
